"Title","PMID","Year","Month","Title_trunc","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Label","...15"
"Cannabis Use and Dependence among French Schizophrenic Inpatients.","25076916",2014,NA,"Cannabis Use and Dependence among French Schizophrenic Inpatients.","10.3389/fpsyt.2014.00082 [doi]; 82","BACKGROUND: To assess the prevalence of cannabis use and dependence in a ","Lejoyeux, Michel; Basquin, Anne; Koch, Marie; Embouazza, Houcine; Chalvin, Florence; Ilongo, Michaelle","Department of Psychiatry and Addictive Medicine, Maison Blanche Hospital, ; Department of Psychiatry and Addictive Medicine, Maison Blanche Hospital, ; Department of Psychiatry and Addictive Medicine, Maison Blanche Hospital, ; Department of Psychiatry and Addictive Medicine, Maison Blanche Hospital, ; Department of Psychiatry and Addictive Medicine, Maison Blanche Hospital, ; Department of Psychiatry and Addictive Medicine, Maison Blanche Hospital, ","eng","Journal Article","Front Psychiatry",NA,"Frontiers in psychiatry","gambling"
"Using Opinions and Knowledge to Identify Natural Groups of Gambling Employees.","25082398",2015,"Dec","Using Opinions and Knowledge to Identify Natural Groups of Gambling Employees.","10.1007/s10899-014-9490-1 [doi]","Gaming industry employees are at higher risk than the general population for ","Gray, Heather M; Tom, Matthew A; LaPlante, Debi A; Shaffer, Howard J","Harvard Medical School, Boston, MA, USA. hgray@challiance.org.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ","eng","Journal Article; Research Support, Non-U.S. Gov't","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"A preliminary adaptation of the Problem Gambling Severity Index for Indigenous Australians: internal reliability and construct validity.","25091075",2014,"Aug","A preliminary adaptation of the Problem Gambling Severity Index for Indigenous ","10.1111/1753-6405.12254 [doi]","OBJECTIVE: This paper describes the process employed to adapt the Problem ","Bertossa, Sue; Harvey, Peter; Smith, David; Chong, Alwin","Statewide Gambling Therapy Service, Flinders University, South Australia.","eng","Journal Article; Research Support, Non-U.S. Gov't","Aust N Z J Public Health",NA,"Australian and New Zealand journal of public health","gambling"
"Pathological Gambling: A Critical Review.","25101407",1999,NA,NA,NA,"As states have moved from merely tolerating gambling to running their own games, ",NA,NA,"eng","Review; Book",NA,NA,NA,"gambling"
"Commentary on Markham et al. (2014): Huffing and puffing our way to accurate gambling-related harm prevalence estimates.","25103103",2014,"Sep","Commentary on Markham et al. (2014): Huffing and puffing our way to accurate ","10.1111/add.12678 [doi]",NA,"Hodgins, David C","Department of Psychology, University of Calgary, 2500 University Drive NW, ","eng","Comment; Journal Article","Addiction",NA,"Addiction (Abingdon, England)","gambling"
"Adult separation anxiety and TCI-R personality dimensions in patients with anxiety, alcohol use, and gambling: a preliminary report.","25105134",2014,NA,"Adult separation anxiety and TCI-R personality dimensions in patients with ","10.1155/2014/680985 [doi]; 680985","BACKGROUND: Nowadays, adult separation anxiety disorder (ASAD) is an established ","Pozzi, Gino; Bruschi, Angelo; De Angelis, Andrea; Pascucci, Marco; Hatzigiakoumis, Daniele Stavros; Grandinetti, Paolo; Di Nicola, Marco; Pini, Stefano; Janiri, Luigi","Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ; Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ; Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ; Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ; Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ; Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ; Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ; Department of Clinical and Experimental Medicine, Section of Psychiatry, ; Institute of Psychiatry and Psychology, Catholic University of the Sacred Heart, ","eng","Clinical Trial; Journal Article","Biomed Res Int",NA,"BioMed research international","gambling"
"Comorbid Problem Gambling and Major Depression in a Community Sample.","25112217",2015,"Dec","Comorbid Problem Gambling and Major Depression in a Community Sample.","10.1007/s10899-014-9488-8 [doi]","Major depression is among the most common comorbid conditions in problem ","Quigley, Leanne; Yakovenko, Igor; Hodgins, David C; Dobson, Keith S; El-Guebaly, Nady; Casey, David M; Currie, Shawn R; Smith, Garry J; Williams, Robert J; Schopflocher, Don P","Department of Psychology, University of Calgary, Calgary, AB, T2N 1N4, Canada. ; Department of Psychology, University of Calgary, Calgary, AB, T2N 1N4, Canada.; Department of Psychology, University of Calgary, Calgary, AB, T2N 1N4, Canada.; Department of Psychology, University of Calgary, Calgary, AB, T2N 1N4, Canada.; Department of Psychiatry, University of Calgary, Calgary, AB, T2N 1N4, Canada.; Department of Psychology, University of Calgary, Calgary, AB, T2N 1N4, Canada.; Department of Psychology, University of Calgary, Calgary, AB, T2N 1N4, Canada.; University of Alberta, Edmonton, AB, Canada.; University of Lethbridge, Lethbridge, AB, Canada.; University of Alberta, Edmonton, AB, Canada.","eng","Journal Article","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Gambling disorder during dopamine replacement treatment in Parkinson's disease: a comprehensive review.","25114917",2014,NA,"Gambling disorder during dopamine replacement treatment in Parkinson's disease: a ","10.1155/2014/728038 [doi]; 728038","Gambling Disorder (GD) is characterized by ""the failure to resist gambling ","Pirritano, Domenico; Plastino, Massimiliano; Bosco, Domenico; Gallelli, Luca; Siniscalchi, Antonio; De Sarro, Giovambattista","Department of Neuroscience, ""S. Giovanni di Dio"" Hospital, 88900 Crotone, Italy.; Department of Neuroscience, ""S. Giovanni di Dio"" Hospital, 88900 Crotone, Italy.; Department of Neuroscience, ""S. Giovanni di Dio"" Hospital, 88900 Crotone, Italy.; Department of Health Science, University of Catanzaro, 88100 Catanzaro, Italy.; Department of Neuroscience, ""L'Annunziata"" Hospital, 87100 Cosenza, Italy.; Department of Health Science, University of Catanzaro, 88100 Catanzaro, Italy.","eng","Journal Article; Review","Biomed Res Int",NA,"BioMed research international","gambling"
"At-Risk/Problematic Shopping and Gambling in Adolescence.","25117852",2015,"Dec","At-Risk/Problematic Shopping and Gambling in Adolescence.","10.1007/s10899-014-9494-x [doi]","Elevated levels of both pathological gambling (PG) and problem shopping (PS) have ","Yip, Sarah W; Mei, Songli; Pilver, Corey E; Steinberg, Marvin A; Rugle, Loreen J; Krishnan-Sarin, Suchitra; Hoff, Rani A; Potenza, Marc N","Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA.; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA.; School of Public Health, Jilin University, Changchun, China.; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA.; Department of Biostatistics, Yale School of Public Health, New Haven, CT, USA.; Connecticut Council on Problem Gambling, Guilford, CT, USA.; Problem Gambling Services, Middletown, CT, USA.; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA.; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA.; VA CT Healthcare System, West Haven, CT, USA.; Department of Psychiatry, Yale University School of Medicine, New Haven, CT, USA.; Department of Neurobiology, Yale University School of Medicine, New Haven, CT, ; Yale Child Study Center, Yale University School of Medicine, New Haven, CT, USA.","eng","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Problem gambling subtypes based on psychological distress, alcohol abuse and impulsivity.","25119420",2014,"Dec","Problem gambling subtypes based on psychological distress, alcohol abuse and ","S0306-4603(14)00254-8 [pii]; 10.1016/j.addbeh.2014.07.023 [doi]","The notion of comorbidities within problem gambling populations has important ","Suomi, Aino; Dowling, Nicki A; Jackson, Alun C","Centre for Gambling Research, The Australian National University, Australia; ; School of Psychology, Deakin University, Australia; Problem Gambling Treatment ; Problem Gambling Treatment and Research Centre, University of Melbourne, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Addict Behav",NA,"Addictive behaviors","gambling"
"Suicidality in non-treatment seeking young adults with subsyndromal gambling disorder.","25119847",2014,"Dec","Suicidality in non-treatment seeking young adults with subsyndromal gambling ","10.1007/s11126-014-9312-8 [doi]","Gambling Disorder is associated with elevated rates of suicidal thoughts and ","Grant, Jon E; Derbyshire, Katherine; Leppink, Eric; Chamberlain, Samuel R","Department of Psychiatry and Behavioral Neuroscience, University of Chicago, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Psychiatr Q",NA,"The Psychiatric quarterly","gambling"
"Video game addiction in gambling disorder: clinical, psychopathological, and personality correlates.","25126551",2014,NA,"Video game addiction in gambling disorder: clinical, psychopathological, and ","10.1155/2014/315062 [doi]; 315062","OBJECTIVE: We studied the prevalences of video game use (VGU) and addiction (VGA) ","Jimenez-Murcia, Susana; Fernandez-Aranda, Fernando; Granero, Roser; Choliz, Mariano; La Verde, Melania; Aguglia, Eugenio; Signorelli, Maria S; Sa, Gustavo M; Aymami, Neus; Gomez-Pena, Monica; del Pino-Gutierrez, Amparo; Moragas, Laura; Fagundo, Ana B; Sauchelli, Sarah; Fernandez-Formoso, Jose A; Menchon, Jose M","Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; Ciber Fisiopatologia Obesidad y Nutricion (CIBERobn), Instituto Salud Carlos III, ; School of Psychology, University of Valencia, 46010 Valencia, Spain.; Department of Clinical and Molecular Biomedicine, Institute of Psychiatry, ; Department of Clinical and Molecular Biomedicine, Institute of Psychiatry, ; Department of Clinical and Molecular Biomedicine, Institute of Psychiatry, ; Institute of Sociology, University of Porto, 4150-564 Porto, Portugal.; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ; CIBER, Spanish Institute of Health Carlos III (ISCIII), 28029 Madrid, Spain.; Department of Psychiatry, University Hospital of Bellvitge-IDIBELL, 08907 ","eng","Journal Article; Research Support, Non-U.S. Gov't","Biomed Res Int",NA,"BioMed research international","gambling"
"Gambling disorder: estimated prevalence rates and risk factors in Macao.","25134026",2014,"Dec","Gambling disorder: estimated prevalence rates and risk factors in Macao.","10.1037/a0037603 [doi]","An excessive, problematic gambling pattern has been regarded as a mental disorder ","Wu, Anise M S; Lai, Mark H C; Tong, Kwok-Kit","Department of Psychology, University of Macau.; Department of Educational Psychology, Texas A&M University.; Department of Psychology, University of Macau.","eng","Journal Article","Psychol Addict Behav",NA,"Psychology of addictive behaviors : journal of the Society of Psychologists in ","gambling"
"Study protocol: the JEU cohort study--transversal multiaxial evaluation and 5-year follow-up of a cohort of French gamblers.","25141820",2014,"Aug","Study protocol: the JEU cohort study--transversal multiaxial evaluation and ","10.1186/s12888-014-0226-7 [doi]; 226","BACKGROUND: There is abundant literature on how to distinguish problem gambling ","Challet-Bouju, Gaelle; Hardouin, Jean-Benoit; Venisse, Jean-Luc; Romo, Lucia; Valleur, Marc; Magalon, David; Fatseas, Melina; Chereau-Boudet, Isabelle; Gorsane, Mohamed-Ali; Grall-Bronnec, Marie","Clinical Investigation Unit BALANCED ""BehaviorAL AddictioNs and ComplEx mood ","eng","Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't","BMC Psychiatry",NA,"BMC psychiatry","gambling"
"The latest achievements in the pharmacotherapy of gambling disorder.","25149985",2014,"Oct","The latest achievements in the pharmacotherapy of gambling disorder.","S1734-1140(14)00199-6 [pii]; 10.1016/j.pharep.2014.05.003 [doi]","Gambling disorder (GD) is becoming increasingly prevalent both among adults and ","Labuzek, Krzysztof; Beil, Sonia; Beil-Gawelczyk, Julia; Gabryel, Bozena; Franik, Grzegorz; Okopien, Boguslaw","Department of Internal Medicine and Clinical Pharmacology, Medical University of ; Department of Internal Medicine and Clinical Pharmacology, Medical University of ; Provincial Specialist Hospital No. 3, Rybnik, Poland.; Department of Pharmacology, Medical University of Silesia, Katowice, Poland.; Department of Gynecological Endocrinology, Medical University of Silesia, ; Department of Internal Medicine and Clinical Pharmacology, Medical University of ","eng","Journal Article; Research Support, Non-U.S. Gov't; Review","Pharmacol Rep",NA,"Pharmacological reports : PR","gambling"
"Decision-making deficits in patients diagnosed with disordered gambling using the Cambridge Gambling task: the effects of substance use disorder comorbidity.","25161815",2014,"Jul","Decision-making deficits in patients diagnosed with disordered gambling using the ","10.1002/brb3.231 [doi]","BACKGROUND: Disordered gambling (DG) has often been associated with impaired ","Zois, Evangelos; Kortlang, Noreen; Vollstadt-Klein, Sabine; Lemenager, Tagrid; Beutel, Martin; Mann, Karl; Fauth-Buhler, Mira","Department of Addictive Behaviour and Addiction Medicine, Central Institute of ; Department of Addictive Behaviour and Addiction Medicine, Central Institute of ; Department of Addictive Behaviour and Addiction Medicine, Central Institute of ; Department of Addictive Behaviour and Addiction Medicine, Central Institute of ; Kraichtal-Kliniken Am Muhlberg, 76703, Kraichtal, Germany.; Department of Addictive Behaviour and Addiction Medicine, Central Institute of ; Department of Addictive Behaviour and Addiction Medicine, Central Institute of ","eng","Journal Article; Research Support, Non-U.S. Gov't","Brain Behav",NA,"Brain and behavior","gambling"
"Pathological gambling treated with lithium: the role of assessing temperament.","25163751",2014,"Dec","Pathological gambling treated with lithium: the role of assessing temperament.","S0306-4603(14)00165-8 [pii]; 10.1016/j.addbeh.2014.05.016 [doi]","BACKGROUND AND AIMS: Pathological gambling is a condition for which there is ","Chaim, Carolina Hanna; Nazar, Bruno Palazzo; Hollander, Eric; Lessa, Jose Luiz Martins","Psychiatry Residency Program, Federal University of Rio de Janeiro (UFRJ), ; Federal University of Rio de Janeiro (UFRJ), Institute of Psychiatry (IPUB), Rio ; Albert Einstein College of Medicine and Montefiore Medical Center, Bronx, NY, ; Federal University of Rio de Janeiro (UFRJ), Institute of Psychiatry (IPUB), Rio ","eng","Case Reports; Journal Article","Addict Behav",NA,"Addictive behaviors","gambling"
"Cognitive Inflexibility in Gamblers is Primarily Present in Reward-Related Decision Making.","25165438",2014,NA,"Cognitive Inflexibility in Gamblers is Primarily Present in Reward-Related ","10.3389/fnhum.2014.00569 [doi]; 569","One hallmark of gambling disorder (GD) is the observation that gamblers have ","Boog, Michiel; Hoppener, Paul; V D Wetering, Ben J M; Goudriaan, Anna E; Boog, Matthijs C; Franken, Ingmar H A","Bouman Mental Health Care , Rotterdam , Netherlands ; Institute of Psychology, ; Bouman Mental Health Care , Rotterdam , Netherlands ; Reinier van Arkel Groep , ; Bouman Mental Health Care , Rotterdam , Netherlands.; Department of Psychiatry, Academic Medical Center, Amsterdam Institute for ; Department of Public Health, Erasmus MC , Rotterdam , Netherlands.; Institute of Psychology, Erasmus University Rotterdam , Rotterdam , Netherlands.","eng","Journal Article","Front Hum Neurosci",NA,"Frontiers in human neuroscience","gambling"
"A single-blind study of 'as-needed' ecopipam for gambling disorder.","25166480",2014,"Aug","A single-blind study of 'as-needed' ecopipam for gambling disorder.",NA,"BACKGROUND: Gambling disorder is a disabling illness experienced by 1% to 3% of ","Grant, Jon E; Odlaug, Brian L; Black, Donald W; Fong, Timothy; Davtian, Margarit; Chipkin, Richard; Kim, Suck Won","Department of Psychiatry and Behavioral Neuroscience, University of Chicago ","eng","Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't","Ann Clin Psychiatry",NA,"Annals of clinical psychiatry : official journal of the American Academy of ","gambling"
"One-year follow-up of subsyndromal gambling disorder in non-treatment-seeking young adults.","25166482",2014,"Aug","One-year follow-up of subsyndromal gambling disorder in non-treatment-seeking ",NA,"BACKGROUND: Subsyndromal gambling disorder (SGD) is prevalent, but little is ","Grant, Jon E; Derbyshire, Katherine; Leppink, Eric; Chamberlain, Samuel R","Department of Psychiatry and Behavioral Neuroscience, University of Chicago, ","eng","Journal Article","Ann Clin Psychiatry",NA,"Annals of clinical psychiatry : official journal of the American Academy of ","gambling"
"Telescoping and gender differences in the time course of disordered gambling: evidence from a general population sample.","25171127",2015,"Jan","Telescoping and gender differences in the time course of disordered gambling: ","10.1111/add.12717 [doi]","BACKGROUND AND AIM: The course of disordered gambling in women has been described ","Slutske, Wendy S; Piasecki, Thomas M; Deutsch, Arielle R; Statham, Dixie J; Martin, Nicholas G","University of Missouri, Columbia, MO, USA; Midwest Alcoholism Research Center, ","eng","Journal Article; Research Support, N.I.H., Extramural; Twin Study","Addiction","Conflicts of interest: None","Addiction (Abingdon, England)","gambling"
"Psychometric evaluation of the gambling self-efficacy questionnaire with treatment-seeking pathological gamblers.","25180557",2014,"Dec","Psychometric evaluation of the gambling self-efficacy questionnaire with ","10.1037/a0037678 [doi]","Gambling-related self-efficacy has been shown to correspond with treatment ","Winfree, Walter R; Ginley, Meredith K; Whelan, James P; Meyers, Andrew W","Department of Psychology, University of Memphis.; Department of Psychology, University of Memphis.; Department of Psychology, University of Memphis.; Department of Psychology, University of Memphis.","eng","Journal Article","Psychol Addict Behav",NA,"Psychology of addictive behaviors : journal of the Society of Psychologists in ","gambling"
"Reward pathway dysfunction in gambling disorder: A meta-analysis of functional magnetic resonance imaging studies.","25205368",2014,"Dec","Reward pathway dysfunction in gambling disorder: A meta-analysis of functional ","S0166-4328(14)00576-2 [pii]; 10.1016/j.bbr.2014.08.057 [doi]","Recent emerging functional magnetic resonance imaging (fMRI) studies have ","Meng, Ya-jing; Deng, Wei; Wang, Hui-yao; Guo, Wan-jun; Li, Tao; Lam, Chaw; Lin, Xia","Mental Health Center, West China Hospital, Sichuan University, PR China; State ; Mental Health Center, West China Hospital, Sichuan University, PR China; State ; Mental Health Center, West China Hospital, Sichuan University, PR China.; Mental Health Center, West China Hospital, Sichuan University, PR China; State ; Mental Health Center, West China Hospital, Sichuan University, PR China; State ; Department of Psychology, Illinois Institute of Technology, Chicago, IL, U.S.A.; Institute of post-disaster reconstruction, Sichuan University, Chengdu, China; ","eng","Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Review","Behav Brain Res",NA,"Behavioural brain research","gambling"
"Detecting associations between behavioral addictions and dopamine agonists in the Food & Drug Administration's Adverse Event database.","25215211",2014,"Mar","Detecting associations between behavioral addictions and dopamine agonists in the ","10.1556/JBA.3.2014.1.3 [doi]","BACKGROUND/AIMS: Studies have reported higher prevalences of four behavioral ","Gendreau, Katherine E; Potenza, Marc N","Yale University School of Medicine, New Haven, CT, USA.; Yale University School of Medicine, New Haven, CT, USA.","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","gambling"
"An exploratory examination of marijuana use, problem-gambling severity, and health correlates among adolescents.","25215219",2014,"Jun","An exploratory examination of marijuana use, problem-gambling severity, and ","10.1556/JBA.3.2014.009 [doi]","BACKGROUND AND AIMS: Gambling is common in adolescents and at-risk and ","Hammond, Christopher J; Pilver, Corey E; Rugle, Loreen; Steinberg, Marvin A; Mayes, Linda C; Malison, Robert T; Krishnan-Sarin, Suchitra; Hoff, Rani A; Potenza, Marc N","Child Study Center, Yale University School of Medicine, New Haven, CT, USA ; ; Department of Biostatistics, Yale University School of Public Health, New Haven, ; Problem Gambling Services, Middletown, CT, USA.; Connecticut Council on Problem Gambling, Clinton, CT, USA.; Child Study Center, Yale University School of Medicine, New Haven, CT, USA.; Department of Psychiatry, Yale University School of Medicine, Connecticut Mental ; Department of Psychiatry, Yale University School of Medicine, Connecticut Mental ; Department of Psychiatry, Yale University School of Medicine, Connecticut Mental ; Child Study Center, Yale University School of Medicine, New Haven, CT, USA ; ","eng","Journal Article; Review","J Behav Addict",NA,"Journal of behavioral addictions","gambling"
"Subtypes of Pathological Gambling with Concurrent Illegal Behaviors.","25228407",2015,"Dec","Subtypes of Pathological Gambling with Concurrent Illegal Behaviors.","10.1007/s10899-014-9499-5 [doi]","The aims of this study are: to explore empirical clusters in a sample of ","Granero, Roser; Fernandez-Aranda, Fernando; Aymami, Neus; Gomez-Pena, Monica; Fagundo, Ana Beatriz; Sauchelli, Sarah; Del Pino-Gutierrez, Amparo; Moragas, Laura; Savvidou, Lamprini G; Islam, Mohammed A; Tarrega, Salome; Menchon, Jose M; Jimenez-Murcia, Susana","Departament de Psicobiologia i Metodologia de les Ciencies de la Salut, ; CIBER Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; CIBER Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Department of Clinical Sciences, School of Medicine, University of Barcelona, ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; CIBER Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Department of Public Health, Mental Health and Mother-Infant Nursing, University ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; CIBER Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Departament de Psicobiologia i Metodologia de les Ciencies de la Salut, ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Department of Clinical Sciences, School of Medicine, University of Barcelona, ; CIBER Salud Mental (CIBERSAM), Instituto de Salud Carlos III, Barcelona, Spain. ; CIBER Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; Pathological Gambling Unit, Department of Psychiatry, IDIBELL, University ; Department of Clinical Sciences, School of Medicine, University of Barcelona, ","eng","Journal Article; Research Support, Non-U.S. Gov't","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Food addiction in the light of DSM-5.","25230209",2014,"Sep","Food addiction in the light of DSM-5.","10.3390/nu6093653 [doi]","The idea that specific kind of foods may have an addiction potential and that ","Meule, Adrian; Gearhardt, Ashley N","Institute of Psychology, University of Wurzburg, Marcusstr. 9-11, Wurzburg 97070, ; Department of Psychology, University of Michigan, 530 Church Street, Ann Arbor, ","eng","Journal Article; Review","Nutrients",NA,"Nutrients","gambling"
"Dopamine DRD2/ANKK1 Taq1A and DAT1 VNTR polymorphisms are associated with a cognitive flexibility profile in pathological gamblers.","25237117",2014,"Dec","Dopamine DRD2/ANKK1 Taq1A and DAT1 VNTR polymorphisms are associated with a ","10.1177/0269881114551079 [doi]","Like drug addiction, pathological gambling (PG) has been associated with ","Fagundo, Ana B; Fernandez-Aranda, Fernando; de la Torre, Rafael; Verdejo-Garcia, Antonio; Granero, Roser; Penelo, Eva; Gene, Manel; Barrot, Carme; Sanchez, Cristina; Alvarez-Moya, Eva; Ochoa, Cristian; Aymami, Maria Neus; Gomez-Pena, Monica; Menchon, Jose M; Jimenez-Murcia, Susana","Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ; Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ; CIBER Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; School of Psychology and Psychiatry, Monash University, Melbourne, VIC, Australia ; CIBER Fisiopatologia Obesidad y Nutricion (CIBERObn), Instituto de Salud Carlos ; Department of Psychobiology and Methodology, Autonomous University of Barcelona, ; School of Medicine, University of Barcelona, Barcelona, Spain.; School of Medicine, University of Barcelona, Barcelona, Spain.; School of Medicine, University of Barcelona, Barcelona, Spain.; Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ; Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ; Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ; Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ; Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ; Department of Psychiatry, University Hospital of Bellvitge (IDIBELL), Barcelona, ","eng","Journal Article; Research Support, Non-U.S. Gov't","J Psychopharmacol",NA,"Journal of psychopharmacology (Oxford, England)","gambling"
"Gambling in China: socio-historical evolution and current challenges.","25238131",2015,"Feb","Gambling in China: socio-historical evolution and current challenges.","10.1111/add.12710 [doi]","AIMS: This paper provides an overview of gambling issues in China, including ","Wu, Anise M S; Lau, Joseph T F","Department of Psychology, Faculty of Social Sciences, University of Macau, Macao, ","eng","Historical Article; Journal Article; Review","Addiction",NA,"Addiction (Abingdon, England)","gambling"
"Decreased connectivity of the default mode network in pathological gambling: a resting state functional MRI study.","25238959",2014,"Nov","Decreased connectivity of the default mode network in pathological gambling: a ","S0304-3940(14)00762-9 [pii]; 10.1016/j.neulet.2014.09.025 [doi]","The default mode network (DMN) represents neuronal activity that is intrinsically ","Jung, Myung Hun; Kim, Jae-Hun; Shin, Young-Chul; Jung, Wi Hoon; Jang, Joon Hwan; Choi, Jung-Seok; Kang, Do-Hyung; Yi, Jung-Seo; Choi, Chi-Hoon; Kwon, Jun Soo","Department of Psychiatry, Hallym University College of Medicine, Chuncheon, ; Department of Radiology, Samsung Medical Center, Sungkyunkwan University School ; Department of Psychiatry, Kangbuk Samsung Hospital, Sungkyunkwan University ; Department of Psychiatry, Seoul National University College of Medicine, Seoul, ; Department of Psychiatry, Seoul National University College of Medicine, Seoul, ; Department of Psychiatry, SMG-SNU Boramae Hospital, Seoul National University, ; Department of Psychiatry, Seoul National University College of Medicine, Seoul, ; Department of Psychiatry, Hallym University College of Medicine, Chuncheon, ; Department of Diagnostic Radiology, National Medical Center, Seoul, Republic of ; Department of Psychiatry, Seoul National University College of Medicine, Seoul, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Neurosci Lett",NA,"Neuroscience letters","gambling"
"Cortical volume and folding abnormalities in Parkinson's disease patients with pathological gambling.","25240405",2014,"Nov","Cortical volume and folding abnormalities in Parkinson's disease patients with ","S1353-8020(14)00323-X [pii]; 10.1016/j.parkreldis.2014.09.001 [doi]","PURPOSE: Pathological gambling (PG) is one of the most devastating non-motor ","Cerasa, Antonio; Salsone, Maria; Nigro, Salvatore; Chiriaco, Carmelina; Donzuso, Giulia; Bosco, Domenico; Vasta, Roberta; Quattrone, Aldo","Neuroimaging Research Unit, IBFM-CNR, Germaneto, CZ, Italy.; Neuroimaging Research Unit, IBFM-CNR, Germaneto, CZ, Italy; Institute of ; Neuroimaging Research Unit, IBFM-CNR, Germaneto, CZ, Italy.; Neuroimaging Research Unit, IBFM-CNR, Germaneto, CZ, Italy.; Neuroimaging Research Unit, IBFM-CNR, Germaneto, CZ, Italy.; Department of Neuroscience, ""San Giovanni di Dio"" Hospital, Largo Bologna, 88900 ; Neuroimaging Research Unit, IBFM-CNR, Germaneto, CZ, Italy.; Neuroimaging Research Unit, IBFM-CNR, Germaneto, CZ, Italy; Institute of ","eng","Journal Article; Research Support, Non-U.S. Gov't","Parkinsonism Relat Disord",NA,"Parkinsonism & related disorders","gambling"
